phylum	class	order	family	Final list	taxonomic rank	Nb record BOLD 2022-02-24
Xenacoelomorpha				Xenacoelomorpha	phylum	18
Acoelomorpha				Acoelomorpha	phylum	20
Placozoa				Placozoa	phylum	20
Gnathostomulida				Gnathostomulida	phylum	24
Rhombozoa				Rhombozoa	phylum	48
Chlorarachniophyta				Chlorarachniophyta	phylum	67
Entoprocta				Entoprocta	phylum	76
Priapulida				Priapulida	phylum	151
Phoronida				Phoronida	phylum	172
Myxomycota				Myxomycota	phylum	235
Hemichordata				Hemichordata	phylum	263
Chytridiomycota				Chytridiomycota	phylum	293
Brachiopoda				Brachiopoda	phylum	324
Cycliophora				Cycliophora	phylum	326
Nematomorpha				Nematomorpha	phylum	408
Ctenophora				Ctenophora	phylum	678
Kinorhyncha				Kinorhyncha	phylum	720
Ciliophora				Ciliophora	phylum	819
Lycopodiophyta				Lycopodiophyta	phylum	1351
Gastrotricha				Gastrotricha	phylum	1351
Sipuncula				Sipuncula	phylum	1367
Onychophora				Onychophora	phylum	1394
Chaetognatha				Chaetognatha	phylum	1775
Acanthocephala				Acanthocephala	phylum	2302
Pyrrophycophyta				Pyrrophycophyta	phylum	2339
Tardigrada				Tardigrada	phylum	3162
Zygomycota				Zygomycota	phylum	3275
Glomeromycota				Glomeromycota	phylum	3529
Bryozoa				Bryozoa	phylum	4540
Nemertea				Nemertea	phylum	6451
Heterokontophyta				Heterokontophyta	phylum	7238
Pinophyta				Pinophyta	phylum	7661
Porifera				Porifera	phylum	9701
Pteridophyta				Pteridophyta	phylum	11671
Rotifera				Rotifera	phylum	13758
Chlorophyta				Chlorophyta	phylum	18312
Bryophyta				Bryophyta	phylum	22675
Cnidaria				Cnidaria	phylum	32766
Nematoda				Nematoda	phylum	36696
Platyhelminthes				Platyhelminthes	phylum	41363
Rhodophyta				Rhodophyta	phylum	56200
Echinodermata				Echinodermata	phylum	59209
Basidiomycota				Basidiomycota	phylum	71441
Ascomycota				Ascomycota	phylum	99775
Annelida				Annelida	phylum	112632
Mollusca				Mollusca	phylum	259254
Magnoliophyta				Magnoliophyta	phylum	454573
Chordata	Appendicularia			Appendicularia	class	278
Chordata	Thaliacea			Thaliacea	class	331
Chordata	Sarcopterygii			Sarcopterygii	class	336
Chordata	Myxini			Myxini	class	472
Chordata	Leptocardii			Leptocardii	class	486
Chordata	Holocephali			Holocephali	class	680
Chordata	Cephalaspidomorphi			Cephalaspidomorphi	class	1103
Chordata	Ascidiacea			Ascidiacea	class	9702
Chordata	Reptilia			Reptilia	class	33519
Chordata	Elasmobranchii			Elasmobranchii	class	35484
Chordata	Amphibia			Amphibia	class	65763
Chordata	Aves			Aves	class	82226
Chordata	Mammalia			Mammalia	class	151545
Chordata	Actinopterygii			Actinopterygii	class	461926
Arthropoda	Oligostraca_class_incertae_sedis			Oligostraca_class_incertae_sedis	class	1
Arthropoda	Cephalocarida			Cephalocarida	class	27
Arthropoda	Remipedia			Remipedia	class	36
Arthropoda	Pauropoda			Pauropoda	class	146
Arthropoda	Merostomata			Merostomata	class	181
Arthropoda	Protura			Protura	class	225
Arthropoda	Ichthyostraca			Ichthyostraca	class	245
Arthropoda	Symphyla			Symphyla	class	249
Arthropoda	Diplura			Diplura	class	351
Arthropoda	Pycnogonida			Pycnogonida	class	4806
Arthropoda	Chilopoda			Chilopoda	class	5067
Arthropoda	Ostracoda			Ostracoda	class	7708
Arthropoda	Diplopoda			Diplopoda	class	10141
Arthropoda	Thecostraca			Thecostraca	class	18940
Arthropoda	Branchiopoda			Branchiopoda	class	21920
Arthropoda	Hexanauplia			Hexanauplia	class	38341
Arthropoda	Collembola			Collembola	class	206005
Arthropoda	Malacostraca			Malacostraca	class	206974
Arthropoda	Arachnida	Holothyrida		Holothyrida	order	4
Arthropoda	Arachnida	Opilioacarida		Opilioacarida	order	6
Arthropoda	Arachnida	Palpigradi		Palpigradi	order	38
Arthropoda	Arachnida	Uropygi		Uropygi	order	180
Arthropoda	Arachnida	Ricinulei		Ricinulei	order	187
Arthropoda	Arachnida	Solifugae		Solifugae	order	483
Arthropoda	Arachnida	Amblypygi		Amblypygi	order	606
Arthropoda	Arachnida	Schizomida		Schizomida	order	1318
Arthropoda	Arachnida	Pseudoscorpiones		Pseudoscorpiones	order	3981
Arthropoda	Arachnida	Scorpiones		Scorpiones	order	5349
Arthropoda	Arachnida	Opiliones		Opiliones	order	11858
Arthropoda	Arachnida	Ixodida		Ixodida	order	18451
Arthropoda	Arachnida	Mesostigmata		Mesostigmata	order	32372
Arthropoda	Arachnida	Sarcoptiformes		Sarcoptiformes	order	58081
Arthropoda	Arachnida	Trombidiformes		Trombidiformes	order	83578
Arthropoda	Arachnida	Araneae		Araneae	order	196843
Arthropoda	Insecta	Zoraptera		Zoraptera	order	21
Arthropoda	Insecta	Notoptera		Notoptera	order	25
Arthropoda	Insecta	Raphidioptera		Raphidioptera	order	662
Arthropoda	Insecta	Embioptera		Embioptera	order	795
Arthropoda	Insecta	Zygentoma		Zygentoma	order	1023
Arthropoda	Insecta	Strepsiptera		Strepsiptera	order	1030
Arthropoda	Insecta	Megaloptera		Megaloptera	order	2792
Arthropoda	Insecta	Mecoptera		Mecoptera	order	3130
Arthropoda	Insecta	Phasmatodea		Phasmatodea	order	3169
Arthropoda	Insecta	Siphonaptera		Siphonaptera	order	3822
Arthropoda	Insecta	Dermaptera		Dermaptera	order	3985
Arthropoda	Insecta	Archaeognatha		Archaeognatha	order	5046
Arthropoda	Insecta	Mantodea		Mantodea	order	5364
Arthropoda	Insecta	Neuroptera		Neuroptera	order	20243
Arthropoda	Insecta	Plecoptera		Plecoptera	order	23042
Arthropoda	Insecta	Odonata		Odonata	order	39168
Arthropoda	Insecta	Blattodea		Blattodea	order	40455
Arthropoda	Insecta	Ephemeroptera		Ephemeroptera	order	43281
Arthropoda	Insecta	Thysanoptera		Thysanoptera	order	44378
Arthropoda	Insecta	Orthoptera		Orthoptera	order	62624
Arthropoda	Insecta	Trichoptera		Trichoptera	order	86412
Arthropoda	Insecta	Psocodea		Psocodea	order	102979
Arthropoda	Insecta	Hemiptera	Cerococcidae	Cerococcidae	family	1
Arthropoda	Insecta	Hemiptera	Conchaspididae	Conchaspididae	family	1
Arthropoda	Insecta	Hemiptera	Joppeicidae	Joppeicidae	family	1
Arthropoda	Insecta	Hemiptera	Lestoniidae	Lestoniidae	family	1
Arthropoda	Insecta	Hemiptera	Marchalinidae	Marchalinidae	family	1
Arthropoda	Insecta	Hemiptera	Paraphrynoveliidae	Paraphrynoveliidae	family	1
Arthropoda	Insecta	Hemiptera	Plokiophilidae	Plokiophilidae	family	1
Arthropoda	Insecta	Hemiptera	Termitaphididae	Termitaphididae	family	1
Arthropoda	Insecta	Hemiptera	Xenococcus	Xenococcus	family	1
Arthropoda	Insecta	Hemiptera	Hermatobatidae	Hermatobatidae	family	2
Arthropoda	Insecta	Hemiptera	Pachynomidae	Pachynomidae	family	2
Arthropoda	Insecta	Hemiptera	Thaumastellidae	Thaumastellidae	family	2
Arthropoda	Insecta	Hemiptera	Caliscelis	Caliscelis	family	2
Arthropoda	Insecta	Hemiptera	Kuwaniidae	Kuwaniidae	family	3
Arthropoda	Insecta	Hemiptera	Phloeidae	Phloeidae	family	3
Arthropoda	Insecta	Hemiptera	Velocipedidae	Velocipedidae	family	3
Arthropoda	Insecta	Hemiptera	Aenictopecheidae	Aenictopecheidae	family	4
Arthropoda	Insecta	Hemiptera	Leptopodidae	Leptopodidae	family	4
Arthropoda	Insecta	Hemiptera	Parastrachiidae	Parastrachiidae	family	4
Arthropoda	Insecta	Hemiptera	Hyocephalidae	Hyocephalidae	family	5
Arthropoda	Insecta	Hemiptera	Idiostolidae	Idiostolidae	family	5
Arthropoda	Insecta	Hemiptera	Lecanodiaspididae	Lecanodiaspididae	family	5
Arthropoda	Insecta	Hemiptera	Megarididae	Megarididae	family	6
Arthropoda	Insecta	Hemiptera	Myerslopiidae	Myerslopiidae	family	6
Arthropoda	Insecta	Hemiptera	Canopidae	Canopidae	family	7
Arthropoda	Insecta	Hemiptera	Macroveliidae	Macroveliidae	family	7
Arthropoda	Insecta	Hemiptera	Putoidae	Putoidae	family	9
Arthropoda	Insecta	Hemiptera	Tettigarctidae	Tettigarctidae	family	9
Arthropoda	Insecta	Hemiptera	Cantacaderidae	Cantacaderidae	family	10
Arthropoda	Insecta	Hemiptera	Lasiochilidae	Lasiochilidae	family	11
Arthropoda	Insecta	Hemiptera	Aclerdidae	Aclerdidae	family	12
Arthropoda	Insecta	Hemiptera	Helotrephidae	Helotrephidae	family	12
Arthropoda	Insecta	Hemiptera	Ninidae	Ninidae	family	12
Arthropoda	Insecta	Hemiptera	Polyctenidae	Polyctenidae	family	13
Arthropoda	Insecta	Hemiptera	Cryptococcidae	Cryptococcidae	family	15
Arthropoda	Insecta	Hemiptera	Malcidae	Malcidae	family	16
Arthropoda	Insecta	Hemiptera	Ochteridae	Ochteridae	family	17
Arthropoda	Insecta	Hemiptera	Coelostomidiidae	Coelostomidiidae	family	18
Arthropoda	Insecta	Hemiptera	Dipsocoridae	Dipsocoridae	family	18
Arthropoda	Insecta	Hemiptera	Cyrtocoridae	Cyrtocoridae	family	19
Arthropoda	Insecta	Hemiptera	Colobathristidae	Colobathristidae	family	22
Arthropoda	Insecta	Hemiptera	Kermesidae	Kermesidae	family	24
Arthropoda	Insecta	Hemiptera	Ortheziidae	Ortheziidae	family	26
Arthropoda	Insecta	Hemiptera	Phacopteronidae	Phacopteronidae	family	26
Arthropoda	Insecta	Hemiptera	Stenocephalidae	Stenocephalidae	family	29
Arthropoda	Insecta	Hemiptera	Peloridiidae	Peloridiidae	family	33
Arthropoda	Insecta	Hemiptera	Carsidaridae	Carsidaridae	family	37
Arthropoda	Insecta	Hemiptera	Aetalionidae	Aetalionidae	family	38
Arthropoda	Insecta	Hemiptera	Asterolecaniidae	Asterolecaniidae	family	38
Arthropoda	Insecta	Hemiptera	Lyctocoridae	Lyctocoridae	family	38
Arthropoda	Insecta	Hemiptera	Urostylididae	Urostylididae	family	41
Arthropoda	Insecta	Hemiptera	Dinidoridae	Dinidoridae	family	51
Arthropoda	Insecta	Hemiptera	Homotomidae	Homotomidae	family	54
Arthropoda	Insecta	Hemiptera	Heterogastridae	Heterogastridae	family	55
Arthropoda	Insecta	Hemiptera	Artheneidae	Artheneidae	family	56
Arthropoda	Insecta	Hemiptera	Calophyidae	Calophyidae	family	74
Arthropoda	Insecta	Hemiptera	Lophopidae	Lophopidae	family	85
Arthropoda	Insecta	Hemiptera	Hebridae	Hebridae	family	86
Arthropoda	Insecta	Hemiptera	Piesmatidae	Piesmatidae	family	90
Arthropoda	Insecta	Hemiptera	Rhizoecidae	Rhizoecidae	family	94
Arthropoda	Insecta	Hemiptera	Epipygidae	Epipygidae	family	102
Arthropoda	Insecta	Hemiptera	Aphelocheiridae	Aphelocheiridae	family	112
Arthropoda	Insecta	Hemiptera	Microphysidae	Microphysidae	family	115
Arthropoda	Insecta	Hemiptera	Potamocoridae	Potamocoridae	family	123
Arthropoda	Insecta	Hemiptera	Eurybrachidae	Eurybrachidae	family	130
Arthropoda	Insecta	Hemiptera	Hydrometridae	Hydrometridae	family	136
Arthropoda	Insecta	Hemiptera	Pachygronthidae	Pachygronthidae	family	142
Arthropoda	Insecta	Hemiptera	Margarodidae	Margarodidae	family	162
Arthropoda	Insecta	Hemiptera	Tessaratomidae	Tessaratomidae	family	163
Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoridae	family	171
Arthropoda	Insecta	Hemiptera	Largidae	Largidae	family	177
Arthropoda	Insecta	Hemiptera	Caliscelidae	Caliscelidae	family	182
Arthropoda	Insecta	Hemiptera	Mesoveliidae	Mesoveliidae	family	192
Arthropoda	Insecta	Hemiptera	Thyreocoridae	Thyreocoridae	family	192
Arthropoda	Insecta	Hemiptera	Naucoridae	Naucoridae	family	195
Arthropoda	Insecta	Hemiptera	Machaerotidae	Machaerotidae	family	198
Arthropoda	Insecta	Hemiptera	Tettigometridae	Tettigometridae	family	200
Arthropoda	Insecta	Hemiptera	Gelastocoridae	Gelastocoridae	family	206
Arthropoda	Insecta	Hemiptera	Dactylopiidae	Dactylopiidae	family	215
Arthropoda	Insecta	Hemiptera	Kerriidae	Kerriidae	family	215
Arthropoda	Insecta	Hemiptera	Stictococcidae	Stictococcidae	family	228
Arthropoda	Insecta	Hemiptera	Cymidae	Cymidae	family	243
Arthropoda	Insecta	Hemiptera	Blissidae	Blissidae	family	299
Arthropoda	Insecta	Hemiptera	Nepidae	Nepidae	family	303
Arthropoda	Insecta	Hemiptera	Nogodinidae	Nogodinidae	family	349
Arthropoda	Insecta	Hemiptera	Phylloxeridae	Phylloxeridae	family	363
Arthropoda	Insecta	Hemiptera	Pleidae	Pleidae	family	386
Arthropoda	Insecta	Hemiptera	Enicocephalidae	Enicocephalidae	family	406
Arthropoda	Insecta	Hemiptera	Kinnaridae	Kinnaridae	family	425
Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcidae	family	456
Arthropoda	Insecta	Hemiptera	Geocoridae	Geocoridae	family	473
Arthropoda	Insecta	Hemiptera	Cimicidae	Cimicidae	family	532
Arthropoda	Insecta	Hemiptera	Clastopteridae	Clastopteridae	family	580
Arthropoda	Insecta	Hemiptera	Plataspidae	Plataspidae	family	583
Arthropoda	Insecta	Hemiptera	Meenoplidae	Meenoplidae	family	611
Arthropoda	Insecta	Hemiptera	Acanthosomatidae	Acanthosomatidae	family	701
Arthropoda	Insecta	Hemiptera	Schizopteridae	Schizopteridae	family	713
Arthropoda	Insecta	Hemiptera	Berytidae	Berytidae	family	736
Arthropoda	Insecta	Hemiptera	Oxycarenidae	Oxycarenidae	family	739
Arthropoda	Insecta	Hemiptera	Cydnidae	Cydnidae	family	746
Arthropoda	Insecta	Hemiptera	Dictyopharidae	Dictyopharidae	family	764
Arthropoda	Insecta	Hemiptera	Notonectidae	Notonectidae	family	815
Arthropoda	Insecta	Hemiptera	Saldidae	Saldidae	family	893
Arthropoda	Insecta	Hemiptera	Pyrrhocoridae	Pyrrhocoridae	family	901
Arthropoda	Insecta	Hemiptera	Veliidae	Veliidae	family	977
Arthropoda	Insecta	Hemiptera	Achilidae	Achilidae	family	981
Arthropoda	Insecta	Hemiptera	Liviidae	Liviidae	family	1035
Arthropoda	Insecta	Hemiptera	Monophlebidae	Monophlebidae	family	1126
Arthropoda	Insecta	Hemiptera	Cercopidae	Cercopidae	family	1263
Arthropoda	Insecta	Hemiptera	Alydidae	Alydidae	family	1274
Arthropoda	Insecta	Hemiptera	Aphalaridae	Aphalaridae	family	1629
Arthropoda	Insecta	Hemiptera	Rhopalidae	Rhopalidae	family	1666
Arthropoda	Insecta	Hemiptera	Derbidae	Derbidae	family	1705
Arthropoda	Insecta	Hemiptera	Adelgidae	Adelgidae	family	1726
Arthropoda	Insecta	Hemiptera	Aradidae	Aradidae	family	1729
Arthropoda	Insecta	Hemiptera	Belostomatidae	Belostomatidae	family	1784
Arthropoda	Insecta	Hemiptera	Fulgoridae	Fulgoridae	family	1814
Arthropoda	Insecta	Hemiptera	Scutelleridae	Scutelleridae	family	1846
Arthropoda	Insecta	Hemiptera	Nabidae	Nabidae	family	2057
Arthropoda	Insecta	Hemiptera	Ceratocombidae	Ceratocombidae	family	2064
Arthropoda	Insecta	Hemiptera	Coccidae	Coccidae	family	2381
Arthropoda	Insecta	Hemiptera	Gerridae	Gerridae	family	2389
Arthropoda	Insecta	Hemiptera	Triozidae	Triozidae	family	2493
Arthropoda	Insecta	Hemiptera	Acanaloniidae	Acanaloniidae	family	2740
Arthropoda	Insecta	Hemiptera	Tingidae	Tingidae	family	2853
Arthropoda	Insecta	Hemiptera	Diaspididae	Diaspididae	family	2922
Arthropoda	Insecta	Hemiptera	Coreidae	Coreidae	family	3128
Arthropoda	Insecta	Hemiptera	Ricaniidae	Ricaniidae	family	3180
Arthropoda	Insecta	Hemiptera	Corixidae	Corixidae	family	3211
Arthropoda	Insecta	Hemiptera	Anthocoridae	Anthocoridae	family	3253
Arthropoda	Insecta	Hemiptera	Membracidae	Membracidae	family	3539
Arthropoda	Insecta	Hemiptera	Aphrophoridae	Aphrophoridae	family	3633
Arthropoda	Insecta	Hemiptera	Psyllidae	Psyllidae	family	3638
Arthropoda	Insecta	Hemiptera	Cixiidae	Cixiidae	family	4259
Arthropoda	Insecta	Hemiptera	Tropiduchidae	Tropiduchidae	family	4383
Arthropoda	Insecta	Hemiptera	Pseudococcidae	Pseudococcidae	family	4564
Arthropoda	Insecta	Hemiptera	Reduviidae	Reduviidae	family	6007
Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadidae	family	6059
Arthropoda	Insecta	Hemiptera	Lygaeidae	Lygaeidae	family	6234
Arthropoda	Insecta	Hemiptera	Flatidae	Flatidae	family	6379
Arthropoda	Insecta	Hemiptera	Delphacidae	Delphacidae	family	8794
Arthropoda	Insecta	Hemiptera	Rhyparochromidae	Rhyparochromidae	family	8927
Arthropoda	Insecta	Hemiptera	Issidae	Issidae	family	9616
Arthropoda	Insecta	Hemiptera	Pentatomidae	Pentatomidae	family	16359
Arthropoda	Insecta	Hemiptera	Miridae	Miridae	family	32326
Arthropoda	Insecta	Hemiptera	Aleyrodidae	Aleyrodidae	family	50715
Arthropoda	Insecta	Hemiptera	Aphididae	Aphididae	family	63756
Arthropoda	Insecta	Hemiptera	Cicadellidae	Cicadellidae	family	155839
Arthropoda	Insecta	Coleoptera	Cavognathidae	Cavognathidae	family	1
Arthropoda	Insecta	Coleoptera	Cyclaxyridae	Cyclaxyridae	family	1
Arthropoda	Insecta	Coleoptera	Iberobaeniidae	Iberobaeniidae	family	1
Arthropoda	Insecta	Coleoptera	Jacobsoniidae	Jacobsoniidae	family	1
Arthropoda	Insecta	Coleoptera	Lepiceridae	Lepiceridae	family	1
Arthropoda	Insecta	Coleoptera	Smicripidae	Smicripidae	family	1
Arthropoda	Insecta	Coleoptera	Brachypsectridae	Brachypsectridae	family	2
Arthropoda	Insecta	Coleoptera	Caridae	Caridae	family	2
Arthropoda	Insecta	Coleoptera	Epimetopidae	Epimetopidae	family	2
Arthropoda	Insecta	Coleoptera	Hobartiidae	Hobartiidae	family	2
Arthropoda	Insecta	Coleoptera	Myraboliidae	Myraboliidae	family	2
Arthropoda	Insecta	Coleoptera	Ommatidae	Ommatidae	family	2
Arthropoda	Insecta	Coleoptera	Rhinorhipidae	Rhinorhipidae	family	2
Arthropoda	Insecta	Coleoptera	Acanthocnemidae	Acanthocnemidae	family	3
Arthropoda	Insecta	Coleoptera	Akalyptoischiidae	Akalyptoischiidae	family	3
Arthropoda	Insecta	Coleoptera	Phloeostichidae	Phloeostichidae	family	3
Arthropoda	Insecta	Coleoptera	Meruidae	Meruidae	family	4
Arthropoda	Insecta	Coleoptera	Phloiophilidae	Phloiophilidae	family	4
Arthropoda	Insecta	Coleoptera	Phycosecidae	Phycosecidae	family	4
Arthropoda	Insecta	Coleoptera	Schizopodidae	Schizopodidae	family	4
Arthropoda	Insecta	Coleoptera	Trictenotomidae	Trictenotomidae	family	4
Arthropoda	Insecta	Coleoptera	Boganiidae	Boganiidae	family	5
Arthropoda	Insecta	Coleoptera	Chaetosomatidae	Chaetosomatidae	family	5
Arthropoda	Insecta	Coleoptera	Eupsilobiidae	Eupsilobiidae	family	5
Arthropoda	Insecta	Coleoptera	Helotidae	Helotidae	family	5
Arthropoda	Insecta	Coleoptera	Mauroniscidae	Mauroniscidae	family	5
Arthropoda	Insecta	Coleoptera	Priasilphidae	Priasilphidae	family	5
Arthropoda	Insecta	Coleoptera	Cneoglossidae	Cneoglossidae	family	6
Arthropoda	Insecta	Coleoptera	Endecatomidae	Endecatomidae	family	6
Arthropoda	Insecta	Coleoptera	Murmidiidae	Murmidiidae	family	6
Arthropoda	Insecta	Coleoptera	Protocucujidae	Protocucujidae	family	7
Arthropoda	Insecta	Coleoptera	Pleocomidae	Pleocomidae	family	8
Arthropoda	Insecta	Coleoptera	Aspidytidae	Aspidytidae	family	9
Arthropoda	Insecta	Coleoptera	Hydroscaphidae	Hydroscaphidae	family	9
Arthropoda	Insecta	Coleoptera	Jurasaidae	Jurasaidae	family	9
Arthropoda	Insecta	Coleoptera	Oxypeltidae	Oxypeltidae	family	9
Arthropoda	Insecta	Coleoptera	Torridincolidae	Torridincolidae	family	9
Arthropoda	Insecta	Coleoptera	Tenebrionoidea_incertae_sedis	Tenebrionoidea_incertae_sedis	family	10
Arthropoda	Insecta	Coleoptera	Ischaliidae	Ischaliidae	family	11
