	phylum	class	order	family	Final list	taxonomic rank	Nb record BOLD 2022-02-24
Animals	Xenacoelomorpha				phylum	Xenacoelomorpha	18
Animals	Placozoa				phylum	Placozoa	20
Animals	Acoelomorpha				phylum	Acoelomorpha	23
Animals	Gnathostomulida				phylum	Gnathostomulida	24
Animals	Rhombozoa				phylum	Rhombozoa	48
Protists	Chlorarachniophyta				phylum	Chlorarachniophyta	67
Animals	Entoprocta				phylum	Entoprocta	77
Animals	Priapulida				phylum	Priapulida	155
Animals	Phoronida				phylum	Phoronida	198
Fungi	Myxomycota				phylum	Myxomycota	235
Animals	Hemichordata				phylum	Hemichordata	266
Fungi	Chytridiomycota				phylum	Chytridiomycota	293
Animals	Brachiopoda				phylum	Brachiopoda	364
Animals	Nematomorpha				phylum	Nematomorpha	416
Animals	Cycliophora				phylum	Cycliophora	525
Animals	Kinorhyncha				phylum	Kinorhyncha	727
Protists	Ciliophora				phylum	Ciliophora	821
Animals	Ctenophora				phylum	Ctenophora	1015
Animals	Gastrotricha				phylum	Gastrotricha	1363
Plants	Lycopodiophyta				phylum	Lycopodiophyta	1381
Animals	Onychophora				phylum	Onychophora	1411
Animals	Chaetognatha				phylum	Chaetognatha	1900
Protists	Pyrrophycophyta				phylum	Pyrrophycophyta	2339
Animals	Acanthocephala				phylum	Acanthocephala	2381
Fungi	Zygomycota				phylum	Zygomycota	3286
Animals	Tardigrada				phylum	Tardigrada	3485
Fungi	Glomeromycota				phylum	Glomeromycota	3529
Animals	Bryozoa				phylum	Bryozoa	5488
Animals	Nemertea				phylum	Nemertea	7161
Protists	Heterokontophyta				phylum	Heterokontophyta	7410
Plants	Pinophyta				phylum	Pinophyta	7801
Animals	Porifera				phylum	Porifera	10234
Plants	Pteridophyta				phylum	Pteridophyta	11851
Animals	Rotifera				phylum	Rotifera	14081
Plants	Chlorophyta				phylum	Chlorophyta	18664
Plants	Bryophyta				phylum	Bryophyta	23562
Animals	Cnidaria				phylum	Cnidaria	36999
Animals	Nematoda				phylum	Nematoda	39967
Animals	Platyhelminthes				phylum	Platyhelminthes	44914
Protists	Rhodophyta				phylum	Rhodophyta	57942
Animals	Echinodermata				phylum	Echinodermata	63192
Fungi	Basidiomycota				phylum	Basidiomycota	75717
Fungi	Ascomycota				phylum	Ascomycota	109065
Animals	Annelida				phylum	Annelida	126580
Animals	Mollusca				phylum	Mollusca	279691
Plants	Magnoliophyta				phylum	Magnoliophyta	465236
Animals	Chordata	Appendicularia			class	Appendicularia	303
Animals	Chordata	Thaliacea			class	Thaliacea	333
Animals	Chordata	Sarcopterygii			class	Sarcopterygii	354
Animals	Chordata	Myxini			class	Myxini	472
Animals	Chordata	Leptocardii			class	Leptocardii	497
Animals	Chordata	Holocephali			class	Holocephali	709
Animals	Chordata	Cephalaspidomorphi			class	Cephalaspidomorphi	1145
Animals	Chordata	Ascidiacea			class	Ascidiacea	10913
Animals	Chordata	Reptilia			class	Reptilia	35963
Animals	Chordata	Elasmobranchii			class	Elasmobranchii	36869
Animals	Chordata	Amphibia			class	Amphibia	67954
Animals	Chordata	Aves			class	Aves	85532
Animals	Chordata	Mammalia			class	Mammalia	157013
Animals	Chordata	Actinopterygii			class	Actinopterygii	495323
Animals	Arthropoda	Oligostraca_class_incertae_sedis			class	Oligostraca_class_incertae_sedis	1
Animals	Arthropoda	Cephalocarida			class	Cephalocarida	28
Animals	Arthropoda	Remipedia			class	Remipedia	46
Animals	Arthropoda	Pauropoda			class	Pauropoda	160
Animals	Arthropoda	Merostomata			class	Merostomata	182
Animals	Arthropoda	Protura			class	Protura	225
Animals	Arthropoda	Ichthyostraca			class	Ichthyostraca	260
Animals	Arthropoda	Symphyla			class	Symphyla	265
Animals	Arthropoda	Diplura			class	Diplura	365
Animals	Arthropoda	Pycnogonida			class	Pycnogonida	4828
Animals	Arthropoda	Chilopoda			class	Chilopoda	5865
Animals	Arthropoda	Ostracoda			class	Ostracoda	8009
Animals	Arthropoda	Diplopoda			class	Diplopoda	11034
Animals	Arthropoda	Thecostraca			class	Thecostraca	20422
Animals	Arthropoda	Branchiopoda			class	Branchiopoda	24499
Animals	Arthropoda	Copepoda			class	Copepoda	41230
Animals	Arthropoda	Malacostraca			class	Malacostraca	226294
Animals	Arthropoda	Collembola			class	Collembola	228208
Animals	Arthropoda	Arachnida	Holothyrida		order	Holothyrida	4
Animals	Arthropoda	Arachnida	Opilioacarida		order	Opilioacarida	7
Animals	Arthropoda	Arachnida	Palpigradi		order	Palpigradi	40
Animals	Arthropoda	Arachnida	Uropygi		order	Uropygi	182
Animals	Arthropoda	Arachnida	Ricinulei		order	Ricinulei	187
Animals	Arthropoda	Arachnida	Solifugae		order	Solifugae	490
Animals	Arthropoda	Arachnida	Amblypygi		order	Amblypygi	619
Animals	Arthropoda	Arachnida	Schizomida		order	Schizomida	1451
Animals	Arthropoda	Arachnida	Pseudoscorpiones		order	Pseudoscorpiones	4301
Animals	Arthropoda	Arachnida	Scorpiones		order	Scorpiones	5678
Animals	Arthropoda	Arachnida	Opiliones		order	Opiliones	12577
Animals	Arthropoda	Arachnida	Ixodida		order	Ixodida	22568
Animals	Arthropoda	Arachnida	Mesostigmata		order	Mesostigmata	36063
Animals	Arthropoda	Arachnida	Sarcoptiformes		order	Sarcoptiformes	61927
Animals	Arthropoda	Arachnida	Trombidiformes		order	Trombidiformes	91822
Animals	Arthropoda	Arachnida	Araneae		order	Araneae	216578
Animals	Arthropoda	Insecta	Notoptera		order	Notoptera	26
Animals	Arthropoda	Insecta	Zoraptera		order	Zoraptera	31
Animals	Arthropoda	Insecta	Raphidioptera		order	Raphidioptera	710
Animals	Arthropoda	Insecta	Embioptera		order	Embioptera	855
Animals	Arthropoda	Insecta	Zygentoma		order	Zygentoma	1141
Animals	Arthropoda	Insecta	Strepsiptera		order	Strepsiptera	1188
Animals	Arthropoda	Insecta	Megaloptera		order	Megaloptera	2856
Animals	Arthropoda	Insecta	Mecoptera		order	Mecoptera	3481
Animals	Arthropoda	Insecta	Phasmatodea		order	Phasmatodea	3627
Animals	Arthropoda	Insecta	Siphonaptera		order	Siphonaptera	4084
Animals	Arthropoda	Insecta	Dermaptera		order	Dermaptera	4482
Animals	Arthropoda	Insecta	Archaeognatha		order	Archaeognatha	5554
Animals	Arthropoda	Insecta	Mantodea		order	Mantodea	6659
Animals	Arthropoda	Insecta	Neuroptera		order	Neuroptera	23765
Animals	Arthropoda	Insecta	Plecoptera		order	Plecoptera	24229
Animals	Arthropoda	Insecta	Odonata		order	Odonata	42361
Animals	Arthropoda	Insecta	Blattodea		order	Blattodea	45554
Animals	Arthropoda	Insecta	Ephemeroptera		order	Ephemeroptera	46557
Animals	Arthropoda	Insecta	Thysanoptera		order	Thysanoptera	50115
Animals	Arthropoda	Insecta	Orthoptera		order	Orthoptera	72591
Animals	Arthropoda	Insecta	Trichoptera		order	Trichoptera	93687
Animals	Arthropoda	Insecta	Psocodea		order	Psocodea	120722
Animals	Arthropoda	Insecta	Hemiptera	Cerococcidae	family	Cerococcidae	1
Animals	Arthropoda	Insecta	Hemiptera	Conchaspididae	family	Conchaspididae	1
Animals	Arthropoda	Insecta	Hemiptera	Halimococcidae	family	Halimococcidae	1
Animals	Arthropoda	Insecta	Hemiptera	Homotomidae	family	Homotomidae	1
Animals	Arthropoda	Insecta	Hemiptera	Joppeicidae	family	Joppeicidae	1
Animals	Arthropoda	Insecta	Hemiptera	Lestoniidae	family	Lestoniidae	1
Animals	Arthropoda	Insecta	Hemiptera	Marchalinidae	family	Marchalinidae	1
Animals	Arthropoda	Insecta	Hemiptera	Paraphrynoveliidae	family	Paraphrynoveliidae	1
Animals	Arthropoda	Insecta	Hemiptera	Termitaphididae	family	Termitaphididae	1
Animals	Arthropoda	Insecta	Hemiptera	Pachynomidae	family	Pachynomidae	2
Animals	Arthropoda	Insecta	Hemiptera	Plokiophilidae	family	Plokiophilidae	2
Animals	Arthropoda	Insecta	Hemiptera	Thaumastellidae	family	Thaumastellidae	2
Animals	Arthropoda	Insecta	Hemiptera	Hermatobatidae	family	Hermatobatidae	3
Animals	Arthropoda	Insecta	Hemiptera	Mastigimatidae	family	Mastigimatidae	3
Animals	Arthropoda	Insecta	Hemiptera	Phloeidae	family	Phloeidae	3
Animals	Arthropoda	Insecta	Hemiptera	Velocipedidae	family	Velocipedidae	3
Animals	Arthropoda	Insecta	Hemiptera	Aenictopecheidae	family	Aenictopecheidae	4
Animals	Arthropoda	Insecta	Hemiptera	Kuwaniidae	family	Kuwaniidae	4
Animals	Arthropoda	Insecta	Hemiptera	Hyocephalidae	family	Hyocephalidae	5
Animals	Arthropoda	Insecta	Hemiptera	Idiostolidae	family	Idiostolidae	5
Animals	Arthropoda	Insecta	Hemiptera	Parastrachiidae	family	Parastrachiidae	5
Animals	Arthropoda	Insecta	Hemiptera	Megarididae	family	Megarididae	6
Animals	Arthropoda	Insecta	Hemiptera	Myerslopiidae	family	Myerslopiidae	6
Animals	Arthropoda	Insecta	Hemiptera	Macroveliidae	family	Macroveliidae	7
Animals	Arthropoda	Insecta	Hemiptera	Lecanodiaspididae	family	Lecanodiaspididae	9
Animals	Arthropoda	Insecta	Hemiptera	Tettigarctidae	family	Tettigarctidae	9
Animals	Arthropoda	Insecta	Hemiptera	Lasiochilidae	family	Lasiochilidae	12
Animals	Arthropoda	Insecta	Hemiptera	Ninidae	family	Ninidae	12
Animals	Arthropoda	Insecta	Hemiptera	Cantacaderidae	family	Cantacaderidae	13
Animals	Arthropoda	Insecta	Hemiptera	Polyctenidae	family	Polyctenidae	13
Animals	Arthropoda	Insecta	Hemiptera	Canopidae	family	Canopidae	14
Animals	Arthropoda	Insecta	Hemiptera	Cryptococcidae	family	Cryptococcidae	15
Animals	Arthropoda	Insecta	Hemiptera	Leptopodidae	family	Leptopodidae	15
Animals	Arthropoda	Insecta	Hemiptera	Coelostomidiidae	family	Coelostomidiidae	18
Animals	Arthropoda	Insecta	Hemiptera	Helotrephidae	family	Helotrephidae	18
Animals	Arthropoda	Insecta	Hemiptera	Malcidae	family	Malcidae	18
Animals	Arthropoda	Insecta	Hemiptera	Cyrtocoridae	family	Cyrtocoridae	20
Animals	Arthropoda	Insecta	Hemiptera	Colobathristidae	family	Colobathristidae	22
Animals	Arthropoda	Insecta	Hemiptera	Kermesidae	family	Kermesidae	25
Animals	Arthropoda	Insecta	Hemiptera	Ochteridae	family	Ochteridae	25
Animals	Arthropoda	Insecta	Hemiptera	Phacopteronidae	family	Phacopteronidae	28
Animals	Arthropoda	Insecta	Hemiptera	Peloridiidae	family	Peloridiidae	33
Animals	Arthropoda	Insecta	Hemiptera	Asterolecaniidae	family	Asterolecaniidae	38
Animals	Arthropoda	Insecta	Hemiptera	Lyctocoridae	family	Lyctocoridae	41
Animals	Arthropoda	Insecta	Hemiptera	Urostylididae	family	Urostylididae	41
Animals	Arthropoda	Insecta	Hemiptera	Dipsocoridae	family	Dipsocoridae	47
Animals	Arthropoda	Insecta	Hemiptera	Ortheziidae	family	Ortheziidae	50
Animals	Arthropoda	Insecta	Hemiptera	Artheneidae	family	Artheneidae	60
Animals	Arthropoda	Insecta	Hemiptera	Dinidoridae	family	Dinidoridae	63
Animals	Arthropoda	Insecta	Hemiptera	Stenocephalidae	family	Stenocephalidae	66
Animals	Arthropoda	Insecta	Hemiptera	Heterogastridae	family	Heterogastridae	69
Animals	Arthropoda	Insecta	Hemiptera	Calophyidae	family	Calophyidae	72
Animals	Arthropoda	Insecta	Hemiptera	Aetalionidae	family	Aetalionidae	78
Animals	Arthropoda	Insecta	Hemiptera	Putoidae	family	Putoidae	86
Animals	Arthropoda	Insecta	Hemiptera	Lophopidae	family	Lophopidae	89
Animals	Arthropoda	Insecta	Hemiptera	Rhizoecidae	family	Rhizoecidae	98
Animals	Arthropoda	Insecta	Hemiptera	Piesmatidae	family	Piesmatidae	101
Animals	Arthropoda	Insecta	Hemiptera	Epipygidae	family	Epipygidae	104
Animals	Arthropoda	Insecta	Hemiptera	Hebridae	family	Hebridae	114
Animals	Arthropoda	Insecta	Hemiptera	Aphelocheiridae	family	Aphelocheiridae	117
Animals	Arthropoda	Insecta	Hemiptera	Microphysidae	family	Microphysidae	134
Animals	Arthropoda	Insecta	Hemiptera	Carsidaridae	family	Carsidaridae	148
Animals	Arthropoda	Insecta	Hemiptera	Pachygronthidae	family	Pachygronthidae	152
Animals	Arthropoda	Insecta	Hemiptera	Margarodidae	family	Margarodidae	153
Animals	Arthropoda	Insecta	Hemiptera	Potamocoridae	family	Potamocoridae	158
Animals	Arthropoda	Insecta	Hemiptera	Hydrometridae	family	Hydrometridae	165
Animals	Arthropoda	Insecta	Hemiptera	Tessaratomidae	family	Tessaratomidae	172
Animals	Arthropoda	Insecta	Hemiptera	Eurybrachidae	family	Eurybrachidae	174
Animals	Arthropoda	Insecta	Hemiptera	Machaerotidae	family	Machaerotidae	203
Animals	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	family	Thaumastocoridae	203
Animals	Arthropoda	Insecta	Hemiptera	Thyreocoridae	family	Thyreocoridae	204
Animals	Arthropoda	Insecta	Hemiptera	Caliscelidae	family	Caliscelidae	205
Animals	Arthropoda	Insecta	Hemiptera	Gelastocoridae	family	Gelastocoridae	206
Animals	Arthropoda	Insecta	Hemiptera	Dactylopiidae	family	Dactylopiidae	215
Animals	Arthropoda	Insecta	Hemiptera	Kerriidae	family	Kerriidae	221
Animals	Arthropoda	Insecta	Hemiptera	Tettigometridae	family	Tettigometridae	225
Animals	Arthropoda	Insecta	Hemiptera	Stictococcidae	family	Stictococcidae	228
Animals	Arthropoda	Insecta	Hemiptera	Liviidae	family	Liviidae	232
Animals	Arthropoda	Insecta	Hemiptera	Monophlebidae	family	Monophlebidae	274
Animals	Arthropoda	Insecta	Hemiptera	Aclerdidae	family	Aclerdidae	286
Animals	Arthropoda	Insecta	Hemiptera	Mesoveliidae	family	Mesoveliidae	286
Animals	Arthropoda	Insecta	Hemiptera	Cymidae	family	Cymidae	296
Animals	Arthropoda	Insecta	Hemiptera	Blissidae	family	Blissidae	337
Animals	Arthropoda	Insecta	Hemiptera	Nepidae	family	Nepidae	350
Animals	Arthropoda	Insecta	Hemiptera	Naucoridae	family	Naucoridae	354
Animals	Arthropoda	Insecta	Hemiptera	Largidae	family	Largidae	376
Animals	Arthropoda	Insecta	Hemiptera	Phylloxeridae	family	Phylloxeridae	425
Animals	Arthropoda	Insecta	Hemiptera	Nogodinidae	family	Nogodinidae	426
Animals	Arthropoda	Insecta	Hemiptera	Kinnaridae	family	Kinnaridae	431
Animals	Arthropoda	Insecta	Hemiptera	Psylloidea_incertae_sedis	family	Psylloidea_incertae_sedis	460
Animals	Arthropoda	Insecta	Hemiptera	Eriococcidae	family	Eriococcidae	466
Animals	Arthropoda	Insecta	Hemiptera	Enicocephalidae	family	Enicocephalidae	484
Animals	Arthropoda	Insecta	Hemiptera	Geocoridae	family	Geocoridae	527
Animals	Arthropoda	Insecta	Hemiptera	Pleidae	family	Pleidae	553
Animals	Arthropoda	Insecta	Hemiptera	Cimicidae	family	Cimicidae	566
Animals	Arthropoda	Insecta	Hemiptera	Meenoplidae	family	Meenoplidae	634
Animals	Arthropoda	Insecta	Hemiptera	Plataspidae	family	Plataspidae	640
Animals	Arthropoda	Insecta	Hemiptera	Clastopteridae	family	Clastopteridae	653
Animals	Arthropoda	Insecta	Hemiptera	Acanthosomatidae	family	Acanthosomatidae	761
Animals	Arthropoda	Insecta	Hemiptera	Berytidae	family	Berytidae	798
Animals	Arthropoda	Insecta	Hemiptera	Oxycarenidae	family	Oxycarenidae	820
Animals	Arthropoda	Insecta	Hemiptera	Notonectidae	family	Notonectidae	863
Animals	Arthropoda	Insecta	Hemiptera	Schizopteridae	family	Schizopteridae	979
Animals	Arthropoda	Insecta	Hemiptera	Dictyopharidae	family	Dictyopharidae	984
Animals	Arthropoda	Insecta	Hemiptera	Pyrrhocoridae	family	Pyrrhocoridae	1048
Animals	Arthropoda	Insecta	Hemiptera	Saldidae	family	Saldidae	1057
Animals	Arthropoda	Insecta	Hemiptera	Veliidae	family	Veliidae	1193
Animals	Arthropoda	Insecta	Hemiptera	Cydnidae	family	Cydnidae	1212
Animals	Arthropoda	Insecta	Hemiptera	Achilidae	family	Achilidae	1228
Animals	Arthropoda	Insecta	Hemiptera	Coccoidea_incertae_sedis	family	Coccoidea_incertae_sedis	1442
Animals	Arthropoda	Insecta	Hemiptera	Alydidae	family	Alydidae	1609
Animals	Arthropoda	Insecta	Hemiptera	Rhopalidae	family	Rhopalidae	1735
Animals	Arthropoda	Insecta	Hemiptera	Cercopidae	family	Cercopidae	1741
Animals	Arthropoda	Insecta	Hemiptera	Adelgidae	family	Adelgidae	1757
Animals	Arthropoda	Insecta	Hemiptera	Aradidae	family	Aradidae	1829
Animals	Arthropoda	Insecta	Hemiptera	Aphalaridae	family	Aphalaridae	1912
Animals	Arthropoda	Insecta	Hemiptera	Fulgoridae	family	Fulgoridae	1981
Animals	Arthropoda	Insecta	Hemiptera	Belostomatidae	family	Belostomatidae	2003
Animals	Arthropoda	Insecta	Hemiptera	Scutelleridae	family	Scutelleridae	2056
Animals	Arthropoda	Insecta	Hemiptera	Derbidae	family	Derbidae	2209
Animals	Arthropoda	Insecta	Hemiptera	Nabidae	family	Nabidae	2470
Animals	Arthropoda	Insecta	Hemiptera	Coccidae	family	Coccidae	2487
Animals	Arthropoda	Insecta	Hemiptera	Triozidae	family	Triozidae	2728
Animals	Arthropoda	Insecta	Hemiptera	Acanaloniidae	family	Acanaloniidae	2818
Animals	Arthropoda	Insecta	Hemiptera	Diaspididae	family	Diaspididae	3051
Animals	Arthropoda	Insecta	Hemiptera	Ricaniidae	family	Ricaniidae	3217
Animals	Arthropoda	Insecta	Hemiptera	Corixidae	family	Corixidae	3319
Animals	Arthropoda	Insecta	Hemiptera	Tingidae	family	Tingidae	3397
Animals	Arthropoda	Insecta	Hemiptera	Anthocoridae	family	Anthocoridae	3655
Animals	Arthropoda	Insecta	Hemiptera	Ceratocombidae	family	Ceratocombidae	3712
Animals	Arthropoda	Insecta	Hemiptera	Coreidae	family	Coreidae	3768
Animals	Arthropoda	Insecta	Hemiptera	Aphrophoridae	family	Aphrophoridae	4139
Animals	Arthropoda	Insecta	Hemiptera	Gerridae	family	Gerridae	4150
Animals	Arthropoda	Insecta	Hemiptera	Membracidae	family	Membracidae	4594
Animals	Arthropoda	Insecta	Hemiptera	Tropiduchidae	family	Tropiduchidae	4694
Animals	Arthropoda	Insecta	Hemiptera	Pseudococcidae	family	Pseudococcidae	5045
Animals	Arthropoda	Insecta	Hemiptera	Psyllidae	family	Psyllidae	5599
Animals	Arthropoda	Insecta	Hemiptera	Cixiidae	family	Cixiidae	6172
Animals	Arthropoda	Insecta	Hemiptera	Reduviidae	family	Reduviidae	6738
Animals	Arthropoda	Insecta	Hemiptera	Cicadidae	family	Cicadidae	6781
Animals	Arthropoda	Insecta	Hemiptera	Lygaeidae	family	Lygaeidae	7420
Animals	Arthropoda	Insecta	Hemiptera	Flatidae	family	Flatidae	7498
Animals	Arthropoda	Insecta	Hemiptera	Issidae	family	Issidae	10447
Animals	Arthropoda	Insecta	Hemiptera	Delphacidae	family	Delphacidae	10693
Animals	Arthropoda	Insecta	Hemiptera	Rhyparochromidae	family	Rhyparochromidae	12169
Animals	Arthropoda	Insecta	Hemiptera	Pentatomidae	family	Pentatomidae	17811
Animals	Arthropoda	Insecta	Hemiptera	Miridae	family	Miridae	36206
Animals	Arthropoda	Insecta	Hemiptera	Aleyrodidae	family	Aleyrodidae	63332
Animals	Arthropoda	Insecta	Hemiptera	Aphididae	family	Aphididae	70512
Animals	Arthropoda	Insecta	Hemiptera	Cicadellidae	family	Cicadellidae	195947
Animals	Arthropoda	Insecta	Coleoptera	Cavognathidae	family	Cavognathidae	1
Animals	Arthropoda	Insecta	Coleoptera	Cyclaxyridae	family	Cyclaxyridae	1
Animals	Arthropoda	Insecta	Coleoptera	Iberobaeniidae	family	Iberobaeniidae	1
Animals	Arthropoda	Insecta	Coleoptera	Lepiceridae	family	Lepiceridae	1
Animals	Arthropoda	Insecta	Coleoptera	Brachypsectridae	family	Brachypsectridae	2
Animals	Arthropoda	Insecta	Coleoptera	Caridae	family	Caridae	2
Animals	Arthropoda	Insecta	Coleoptera	Hobartiidae	family	Hobartiidae	2
Animals	Arthropoda	Insecta	Coleoptera	Jacobsoniidae	family	Jacobsoniidae	2
Animals	Arthropoda	Insecta	Coleoptera	Ommatidae	family	Ommatidae	2
Animals	Arthropoda	Insecta	Coleoptera	Rhinorhipidae	family	Rhinorhipidae	2
Animals	Arthropoda	Insecta	Coleoptera	Akalyptoischiidae	family	Akalyptoischiidae	3
Animals	Arthropoda	Insecta	Coleoptera	Myraboliidae	family	Myraboliidae	3
Animals	Arthropoda	Insecta	Coleoptera	Phloeostichidae	family	Phloeostichidae	3
Animals	Arthropoda	Insecta	Coleoptera	Meruidae	family	Meruidae	4
Animals	Arthropoda	Insecta	Coleoptera	Phloiophilidae	family	Phloiophilidae	4
Animals	Arthropoda	Insecta	Coleoptera	Phycosecidae	family	Phycosecidae	4
Animals	Arthropoda	Insecta	Coleoptera	Schizopodidae	family	Schizopodidae	4
Animals	Arthropoda	Insecta	Coleoptera	Trictenotomidae	family	Trictenotomidae	4
Animals	Arthropoda	Insecta	Coleoptera	Boganiidae	family	Boganiidae	5
Animals	Arthropoda	Insecta	Coleoptera	Chaetosomatidae	family	Chaetosomatidae	5
Animals	Arthropoda	Insecta	Coleoptera	Epimetopidae	family	Epimetopidae	5
Animals	Arthropoda	Insecta	Coleoptera	Mauroniscidae	family	Mauroniscidae	5
Animals	Arthropoda	Insecta	Coleoptera	Priasilphidae	family	Priasilphidae	5
Animals	Arthropoda	Insecta	Coleoptera	Acanthocnemidae	family	Acanthocnemidae	6
Animals	Arthropoda	Insecta	Coleoptera	Cneoglossidae	family	Cneoglossidae	6
Animals	Arthropoda	Insecta	Coleoptera	Endecatomidae	family	Endecatomidae	6
Animals	Arthropoda	Insecta	Coleoptera	Eupsilobiidae	family	Eupsilobiidae	6
Animals	Arthropoda	Insecta	Coleoptera	Helotidae	family	Helotidae	6
Animals	Arthropoda	Insecta	Coleoptera	Murmidiidae	family	Murmidiidae	6
Animals	Arthropoda	Insecta	Coleoptera	Protocucujidae	family	Protocucujidae	7
Animals	Arthropoda	Insecta	Coleoptera	Aspidytidae	family	Aspidytidae	9
Animals	Arthropoda	Insecta	Coleoptera	Hydroscaphidae	family	Hydroscaphidae	9
Animals	Arthropoda	Insecta	Coleoptera	Jurasaidae	family	Jurasaidae	9
Animals	Arthropoda	Insecta	Coleoptera	Oxypeltidae	family	Oxypeltidae	9
Animals	Arthropoda	Insecta	Coleoptera	Pleocomidae	family	Pleocomidae	9
Animals	Arthropoda	Insecta	Coleoptera	Torridincolidae	family	Torridincolidae	9
Animals	Arthropoda	Insecta	Coleoptera	Tenebrionoidea_incertae_sedis	family	Tenebrionoidea_incertae_sedis	10
Animals	Arthropoda	Insecta	Coleoptera	Ischaliidae	family	Ischaliidae	11
Animals	Arthropoda	Insecta	Coleoptera	Lutrochidae	family	Lutrochidae	12
Animals	Arthropoda	Insecta	Coleoptera	Eulichadidae	family	Eulichadidae	13
Animals	Arthropoda	Insecta	Coleoptera	Smicripidae	family	Smicripidae	13
Animals	Arthropoda	Insecta	Coleoptera	Boridae	family	Boridae	19
